UFID,Genus,Species,consensusESU,molecularESU,morphologicalESU,Country,Lat,Long,Date Collected,Extract,notes,ossicle_pictures,Photo,n16S,n16Sc,nCOI,nATP6,nc0036,nc0775,nITS,nLSU,nH3a,sumLoci
5877,Holothuria,impatiens,ESU3,ESU3,ESU1,Yap,9.54901,138.08598,8/4/2007,S0066,,,,1,1,1,1,1,0,1,0,0,6
5970,Holothuria,impatiens,tiger,tiger,tiger?,Maui,20.75938,-156.466356,7/14/2007,S0072,,,,1,0,1,1,1,1,1,0,0,6
6485,Holothuria,impatiens,ESU1,ESU1,ESU1,R̩union,-21.1116,55.24895,8/9/2007,S0193,,,yes,1,1,1,0,0,0,0,0,0,3
6487,Holothuria,impatiens,ESU1,ESU1,ESU1,R̩union,-21.1116,55.24895,8/9/2007,S0195,,,yes,0,0,1,0,0,0,0,0,0,1
6370,Stichopus,monotuberculatus,NA,outgroup,outgroup,Reunion,NA,NA,,S0213,,,YES,1,0,1,1,0,0,0,1,1,5
6371,Holothuria,impatiens,ESU2,ESU2,ESU2,R̩union,-21.0895,55.2312,8/1/2007,S0214,,,yes,1,1,1,1,0,0,1,0,0,5
REU_172_1,Holothuria,impatiens,ESU1,ESU1,,R̩union,-21.0787,55.2256,,S0220,,,,0,0,1,0,0,0,0,0,0,1
6771,Holothuria,impatiens,Wpac,Wpac,ESU1,Majuro,7.12419,171.35625,4/7/2008,S0402,,,yes,1,1,1,1,1,0,1,0,1,7
6774,Holothuria,impatiens,ESU1,ESU1,ESU1,Majuro,7.12419,171.35625,4/7/2008,S0403,,,yes,0,0,1,0,0,0,0,0,0,1
6748,Holothuria,impatiens,ESU1,ESU1,ESU1,Majuro,7.12419,171.35625,4/7/2008,S0404,,,yes,1,1,1,0,0,0,0,0,0,3
6745,Holothuria,impatiens,ESU1,ESU1,ESU1,Majuro,7.15792,171.21438,4/8/2008,S0407,,,,0,0,1,0,0,0,0,0,0,1
7421,Holothuria,impatiens,ESU2,ESU2,subsample only,R̩union,-21.0787,55.2256,,S0417,,,,0,1,1,0,0,0,0,0,0,2
6957,Holothuria,impatiens,ESU1,ESU1,ESU1,Kosrae,5.34222,163.01986,2/23/2008,S0419,,,yes,1,0,1,0,0,0,0,0,0,2
6929,Holothuria,impatiens,tiger,tiger,tiger,Kosrae,5.29649,162.8981,2/27/2008,S0441,,,yes,1,0,1,1,1,1,1,0,1,7
6989,Holothuria,impatiens,ESU1,ESU1,ESU1,Kosrae,5.36916,163.01382,2/28/2008,S0444,,,yes,0,0,1,0,0,0,0,0,0,1
6990,Holothuria,impatiens,ESU1,ESU1,ESU1,Kosrae,5.36916,163.01382,2/28/2008,S0445,,,yes,0,0,1,0,0,0,0,0,0,1
6988,Holothuria,impatiens,ESU1,ESU1,ESU1,Kosrae,5.36916,163.01382,2/28/2008,S0446,,,yes,0,0,1,0,0,0,0,0,0,1
6987,Holothuria,impatiens,ESU1,ESU1,ESU1,Kosrae,5.36916,163.01382,2/28/2008,S0447,,,yes,1,1,1,0,0,0,0,0,0,3
6982,Holothuria,impatiens,ESU1,ESU1,ESU1,Kosrae,5.36916,163.01382,2/28/2008,S0448,,,yes,0,0,1,0,0,0,0,0,0,1
6983,Holothuria,impatiens,ESU2,ESU2,ESU2,Kosrae,5.36916,163.01382,2/28/2008,S0449,,,yes,1,1,1,1,0,0,1,0,1,6
6809,Holothuria,impatiens,Wpac,Wpac,ESU1,Kosrae,5.36916,163.01382,2/28/2008,S0450,,,,1,0,1,1,1,1,1,0,1,7
6967,Holothuria,impatiens,ESU1,ESU1,ESU1,Kosrae,5.36916,163.01382,3/4/2008,S0455,,,,0,0,1,0,0,0,0,0,0,1
6711,Holothuria,impatiens,ESU2,ESU2,ESU2,Guam,13.479906,144.726632,2/6/2008,S0458,,,yes,1,1,1,0,1,0,1,0,1,6
6729,Holothuria,impatiens,ESU2,ESU2,ESU2,Guam,13.479906,144.726632,2/6/2008,S0459,,,yes,1,1,1,1,1,0,1,0,1,7
6712,Holothuria,impatiens,ESU2,ESU2,ESU2,Guam,13.479906,144.726632,2/6/2008,S0460,,,yes,1,1,1,0,1,0,0,0,1,5
7081,Holothuria,impatiens,ESU1,ESU1,ESU1,Guam,13.426695,144.796052,2/14/2008,S0464,,,yes,1,1,1,1,1,0,1,1,1,8
7076,Holothuria,impatiens,ESU2,ESU2,ESU2,Guam,13.426695,144.796052,2/14/2008,S0466,,,yes,0,0,1,0,0,0,0,0,0,1
6726,Holothuria,impatiens,ESU2,ESU2,ESU2,Guam,13.426695,144.796052,2/14/2008,S0467,,,yes,0,0,1,0,0,0,0,0,0,1
6722,Holothuria,impatiens,ESU2,ESU2,ESU2,Guam,13.426695,144.796052,2/14/2008,S0468,,,yes,0,1,1,0,0,0,0,0,0,2
MOLAF124,Holothuria,impatiens,Medit,Medit,,Sicily,38.13,15.05,,X0002,,,,1,0,1,0,0,0,0,0,0,2
4255,Holothuria,impatiens,ESU1,ESU1,ESU1,Oman,23.637545,58.48879,1/26/2005,X0011,,,yes,1,0,0,0,0,0,0,0,0,1
4805,Holothuria,impatiens,Hawaii,Hawaii,ESU1/hawaii,Oahu,19.99667,-155.24556,2/24/2006,X0027,,,,1,0,1,0,0,0,0,0,0,2
1277,Holothuria,impatiens,Hawaii,Hawaii,ESU1/hawaii,Maui,20.810833,-156.621389,11/26/2002,X0029,,,,1,0,1,0,0,0,0,0,0,2
318,Holothuria,impatiens,ESU1,ESU1,ESU1,Rangiroa,-14.9833333333,-147.6166666667,10/29/2001,X0030,,,,1,0,1,0,0,0,0,0,0,2
4258,Holothuria,impatiens,ESU1,ESU1,ESU1,Oman,23.637545,58.48879,1/26/2005,X0031,,,yes,1,0,1,0,0,0,0,0,0,2
4098,Holothuria,impatiens,ESU1,ESU1,ESU1,Taiwan,21.9333,120.8167,5/14/2005,X0032,,,,1,0,1,0,0,0,0,0,0,2
4257,Holothuria,impatiens,ESU1,ESU1,ESU1,Oman,23.637545,58.48879,1/26/2005,X0033,,,yes,1,0,1,0,0,0,0,0,0,2
5326,Holothuria,impatiens,ESU1,ESU1,ESU1,Moorea,-17.4748,-149.8188,8/5/2006,X0034,,,yes,1,0,1,0,0,0,0,0,0,2
5271,Holothuria,impatiens,ESU2,ESU2,ESU2,Moorea,-17.4747,-149.7981,8/3/2006,X0035,,yes,yes,1,0,1,0,0,0,0,0,0,2
5340,Holothuria,impatiens,ESU2,ESU2,ESU2,Moorea,-17.4964,-149.7528,6/20/2006,X0036,,yes,yes,1,0,1,0,0,0,0,0,0,2
5294,Holothuria,impatiens,ESU1,ESU1,ESU1,Moorea,-17.4836,-149.8581,7/24/2006,X0037,,,yes,1,0,1,0,0,0,0,0,0,2
5263,Holothuria,impatiens,ESU2,ESU2,ESU2,Moorea,-17.4842,-149.8578,8/2/2006,X0038,,,yes,1,0,1,0,0,0,0,0,0,2
5339,Holothuria,impatiens,ESU1,ESU1,ESU1,Moorea,-17.4964,-149.7528,6/20/2006,X0039,,,yes,1,0,1,0,0,0,0,0,0,2
5320,Holothuria,impatiens,ESU1,ESU1,ESU1,Moorea,-17.4764,-149.8306,7/18/2006,X0040,,,yes,1,0,1,0,0,0,0,0,0,2
5206,Holothuria,impatiens,ESU1,ESU1,ESU1,Moorea,-17.4964,-149.7528,6/20/2006,X0041,,,yes,1,0,1,0,0,0,0,0,0,2
5290,Holothuria,impatiens,ESU1,ESU1,ESU1,Moorea,-17.4747,-149.7981,8/3/2006,X0042,,,no,1,0,1,0,0,0,0,0,0,2
5679,Holothuria,impatiens,ESU1,ESU1,ESU1,Philippines,9.43301,123.38418,5/23/2006,X0044,,,,0,0,1,0,0,0,0,0,0,1
5597,Holothuria,impatiens,ESU1,ESU1,ESU1,Bohol,9.633092,123.782025,6/11/2006,X0046,,,,1,0,1,0,0,0,0,0,0,2
5625,Holothuria,impatiens,ESU2,ESU2,ESU2,Bohol,9.633092,123.782025,6/13/2006,X0048,,,,1,0,1,0,0,0,0,0,0,2
5608,Holothuria,impatiens,ESU2,ESU2,ESU2,Bohol,9.633092,123.782025,6/13/2006,X0049,,,,1,0,1,0,0,0,0,0,0,2
5610,Holothuria,impatiens,Wpac,Wpac,ESU1,Bohol,9.633092,123.782025,6/13/2006,X0050,,,,1,0,1,0,0,0,0,0,0,2
460,Holothuria,impatiens,ESU1,,ESU1,Fiji,-18.1788166667,178.4574333333,11/10/2001,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
975,Holothuria,impatiens,ESU1,,ESU1,New Caledonia,-22.258119,166.38936,1/26/1999,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1352,Holothuria,impatiens,ESU1,,ESU1,Cooks,-18.9,-159.8,10/18/1986,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1583,Holothuria,impatiens,ESU1,,ESU1,Niue Island,-19.1,-169.9,8/27/1986,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1611,Holothuria,impatiens,ESU1,,ESU1,Palau,7.324715,134.495003,3/5/2003,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1620,Holothuria,impatiens,ESU1,,ESU1,Niue Island,-19.1,-169.9,8/25/1986,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1626,Holothuria,impatiens,?,,ESU1?,Niue Island,-19.1,-169.9,8/25/1986,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1835,Holothuria,impatiens,?,,ESU2?,Niue Island,-19.1,-169.9,4/30/1986,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1838,Holothuria,impatiens,ESU1,,ESU1,Fiji,-18.762457,178.522084,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1887,Holothuria,impatiens,ESU2,,ESU2,Tahiti,-17.6,-149.4,9/1/1984,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1895,Holothuria,impatiens,?,,"bad shape, juvenile, inconclusive",Cook Islands,-18.9,-159.8,11/15/1986,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1909,Holothuria,impatiens,?,,,Niue Island,-19.1,-169.9,8/25/1986,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1981,Holothuria,impatiens,ESU1,,ESU1,Cook Islands,-21.2,-159.8,10/1/1984,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2017,Holothuria,impatiens,ESU1,,ESU1,Fiji,-18.183205,177.561427,7/3/1988,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2516,Holothuria,impatiens,?,,,Mauritius,-20.21,57.55,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
3631,Holothuria,impatiens,ESU1,,ESU1,Palau,7.161111,134.376111,8/22/1995,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
4606,Holothuria,impatiens,needsSeq,,,Maui,21.001197,-156.668389,12/11/2002,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
5027,Holothuria,impatiens,ESU1,,ESU1,Moorea,-17.533333,-149.833333,4/30/2006,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
5156,Holothuria,impatiens,ESU1,,ESU1,Moorea,-17.5,-149.8,5/31/2006,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
5174,Holothuria,impatiens,ESU2,,ESU2,Cooks,-21.2566666667,-159.8168333333,6/18/2006,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
5315,Holothuria,impatiens,ESU2,,ESU2,Moorea,-17.4836,-149.765,8/6/2006,,,,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
5634,Holothuria,impatiens,ESU1,,ESU1,Bohol,9.633092,123.782025,6/13/2006,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
6034,Holothuria,impatiens,ESU1,,ESU1,FFS,23.8539,-166.3268,10/26/2006,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
6267,Holothuria,impatiens,ESU1,,ESU1,FFS,23.8538,-166.3267,10/26/2006,,,,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
6588,Holothuria,impatiens,ESU1,,ESU1,R̩union,-21.085556,55.220556,8/17/2007,,,,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
6663,Holothuria,impatiens,ESU1,,ESU1,R̩union,-21.085556,55.220556,8/17/2007,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
7156,Holothuria,impatiens,ESU2,,ESU2,Nosy B̩,-13.44624,48.33157,5/18/2008,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
7158,Holothuria,impatiens,needsSeq,,gracilis,Nosy B̩,-13.2989,48.1472,5/18/2008,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
7320,Holothuria,impatiens,ESU2,,ESU2,Nosy B̩,-13.44624,48.33157,5/26/2008,,,,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
7339,Holothuria,impatiens,ESU1,,ESU1,Nosy B̩,-13.48,48.23,5/11/2008,,,,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
7417,Holothuria,impatiens,NA,,subsample only,R̩union,-21.0787,55.2256,7/25/2007,,,,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
7433,Holothuria,impatiens,ESU1,,ESU1,Nosy B̩,-13.4139,48.3056,5/16/2008,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
7436,Holothuria,impatiens,ESU2,,ESU2,Nosy B̩,-13.4789,48.23655,5/23/2008,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
7831,Holothuria,impatiens,needsSeq,,ESU3,Nosy B̩,-13.44624,48.33157,5/26/2008,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
7966,Holothuria,impatiens,ESU1,,ESU1,Moorea,-17.49631,-149.75295,10/15/2008,,,,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
8388,Holothuria,impatiens,ESU1,,ESU1,Lizard Island,-14.7483,145.5165,2/17/2009,,,,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
8690,Holothuria,impatiens,ESU1,,ESU1,Moorea,-17.51448,-149.7616,10/23/2008,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
8705,Holothuria,impatiens,ESU2,,ESU2,Moorea,-17.48,-149.825,,,,,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
8706,Holothuria,impatiens,ESU1,,ESU1,Moorea,-17.48,-149.825,,,,,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
8951,Holothuria,gracilis,ESU1,,ESU1,Palau,13.5,144.8,2/10/2004,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
9049,Holothuria,impatiens,EP,,EP,Panama,8.6317,-79.0299,2008,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
9054,Holothuria,impatiens,EP,,EP,Panama,8.6317,-79.0299,2008,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
9055,Holothuria,impatiens,EP,,EP,Panama,8.6317,-79.0299,2008,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
9056,Holothuria,impatiens,EP,,EP,Panama,8.6317,-79.0299,2008,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
9848,Holothuria,impatiens,ESU2,,ESU2,Moorea,-17.498214,-149.754865,11/16/2009,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
10341,Holothuria,impatiens,ESU1,,ESU1,Guam,13.462,144.635,6/15/2010,,,,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
10344,Holothuria,impatiens,ESU1,,ESU1,Guam,13.494621,144.770047,6/18/2010,,,,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
10392,Holothuria,impatiens,ESU1,,ESU1,Okinawa,26.406339,127.844547,6/29/2010,,,,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
10658,Holothuria,impatiens,ESU2,,ESU2,Okinawa,26.328821,127.744105,7/20/2010,,,,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
10709,Holothuria,impatiens,,,,Guam,13.5,144.8,,,,,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
10950,Holothuria,impatiens,ESU1,,ESU1,Okinawa,26.444199,127.772746,5/14/2011,,,,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
10959,Holothuria,impatiens,ESU1,,ESU1,Okinawa,26.251732,127.672239,5/15/2011,,,,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
11304,Holothuria,impatiens,ESU2,,ESU2,Guam,13.5,144.8,7/2009,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
11305,Holothuria,impatiens,ESU2,,ESU2,Guam,13.5,144.8,08/25/11,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
11383,Holothuria,impatiens,ESU2,,ESU2,Chuuk,7.271582,151.535942,07/10/11,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
11427,Holothuria,impatiens,ESU1,,ESU1,Yap,9.3329,138.0557,12/11/09,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
12163,Holothuria,impatiens,,,RedSea,Saudi Arabia,22.2907,39.0801,10/10/2012,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
12207,Holothuria,impatiens,,,ESU2,Guam,13.5,144.8,8/8/1970,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
12283,Holothuria,impatiens,,,ESU1? (too old),Guam,13.5,144.8,1966,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
12290,Holothuria,impatiens,,,ESU2,Guam,13.5,144.8,4/5/1975,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
12291,Holothuria,impatiens,,,? too old,Palau,6.978693,134.228886,8/14/1966,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
12342,Holothuria,impatiens,,,ESU2? (too old),Guam,13.5,144.8,6/10/1977,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
12364,Holothuria,impatiens,,,mixed,Kosrae,5.371358,163.008345,8/22/1992,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
12551,Holothuria,impatiens,,,?? (missing),Saipan,15.158461,145.767341,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
12636,Holothuria,impatiens,,,ESU1? (juvenile),Guam,13.5,144.8,3/12/1999,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
12658,Holothuria,impatiens,,,ESU2? (too old),Kosrae,5.362227,162.966964,5/26/1979,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
7055a,Holothuria,impatiens,assignESU,ESU2????,ESU1,Mayotte,-12.947371,45.099797,5/29/2008,,"extracted as C0206, but most likely contamination, needs re-extract",,,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
